part_number,physical_title,description,revision,make_buy,manufacturer,quantity_stowed,quantity_deployed,material,finish,mass_each_kg,cad_classification,source_url,purchase_url,process,notes,verification_status
HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,Nordson_HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,HALKEY-ROBERTS HYDRO 1F AUTOMATIC/MANUAL INFLATOR DIMENSION-CONTROLLED PROXY,A,BUY,Nordson MEDICAL / Halkey-Roberts,1,1,Acetal and stainless commercial inflator assembly,,0.18,DIMENSION_CONTROLLED_PROXY,https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-Drawing-V95000xxB.pdf,,Incoming identity and interface inspection,Commercial interfaces and external service envelope preserved; internals are not invented. Exact vendor CAD and buoy-volume compatibility remain physical acceptance gates.,NON-RELEASE - EXACT VENDOR GEOMETRY/RATED APPLICATION NOT CONTROLLED
HBD-15-25-AA-P,ACE_Hydraulic_Damper_HBD-15-25-AA-P,ACE HBD-15-25-AA-P PURCHASED ASSEMBLY — ONE-SOLID ARTICULATED INSTALLATION BODY,SHORT14-INSTALL-B,BUY,ACE Controls,1,1,Black-anodized aluminum body / hard-chrome steel rod / zinc-plated steel AA-P fittings,,0.19,DRAWING_DERIVED,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,; drawing-derived body end shoulder restored inside the controlled catalog envelope,"Configured HBD-15-25-AA-P, 24.9 mm stroke, 145.0 mm extended length, 15 mm body and 6.1 mm rod. The controlled ACE source ACE_HBD_15_25_AA_P_DRAWING_DERIVED_NOT_VENDOR_CAD_AP242.step verifies the configured envelope/interfaces; this separated body/rod BREP is a drawing-derived articulated installation representation. External travel stops limit motion 1.0-1.5 mm before stroke ends. Occurrence mass allocation is 0.190 kg body + 0.030 kg rod = 0.220 kg catalog assembly total. The previously separated end-neck proxy topology is joined by a bounded end shoulder; catalog interfaces, overall envelope, fixed/moving orientation, stroke and allocated mass are unchanged.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
HBD-15-25-AA-P-ROD-CHILD,ACE_Hydraulic_Damper_Rod_HBD-15-25-AA-P,HBD MOVING ROD ARTICULATION CHILD,R2-INSTALL,BUY,ACE Controls,1,1,Hard-chrome steel rod with zinc-plated steel AA-P fitting,,0.03,DRAWING_DERIVED,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,,Included articulation child of the configured HBD purchased assembly; no separate purchase quantity. Occurrence-level mass allocation reconciles with the 0.220 kg parent assembly. Drawing-derived child verified against the controlled ACE source.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
HDP-3-8-A1,Accu_HDP-3-8-A1,"3 MM X 8 MM DOWEL PIN, DIN 7, M6 TOLERANCE",ACCU-CATALOG,BUY,Accu,6,6,316 stainless steel,Natural stainless; passivate after acceptance if required by drawing,0.00047,DRAWING_DERIVED,https://www.accu.co.uk/dowel-pins/72653-HDP-3-8-A1,https://www.accu.co.uk/dowel-pins/72653-HDP-3-8-A1,"Accu catalog DIN 7 precision pin; incoming CoC, diameter and straightness inspection",Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 47 g per 100; diameter tolerance +0.002/+0.008 mm and 0.45 mm radius length.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
HTP-3-30-A1,Accu_HTP-3-30-A1,"3 MM X 30 MM TAPER PIN, DIN 1B",ACCU-CATALOG,BUY,Accu,1,1,316 stainless steel,Natural stainless; passivate after acceptance if required by drawing,0.002032641862799132,DRAWING_DERIVED,https://www.accu.co.uk/taper-pins/389498-HTP-3-30-A1,https://www.accu.co.uk/taper-pins/389498-HTP-3-30-A1,Accu catalog DIN 1B taper pin; incoming CoC and blue-fit inspection in the occurrence-matched reamed bore,"Official Accu product identity and nominal dimensions verified 2026-08-22; Nominal 3.0 mm small diameter, 3.6 mm large diameter and 30 mm length; mass from exact nominal B-rep at 7.90 g/cm3.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
LELAND-81121,Leland_CO2_Cartridge_81121,LELAND 81121 12 G CO2 CARTRIDGE,A,BUY,Leland Gas Technologies,1,1,Steel pressure cartridge,,0.045,DRAWING_DERIVED,https://www.lelandgas.com/product-page/81121-cartridge-small-x-xml-x-xxg-gas,https://www.lelandgas.com/product-page/81121-cartridge-small-x-xml-x-xxg-gas,,"Incoming acceptance: 12 g CO2, 0.735 in body diameter, 3.250 in overall length, 3/8-24 neck, lot traceability and CoC; occurrence-matched puncture-head thread and pre-puncture clearance are inspected.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
ROTOR-CLIP-DC-4SS,Rotor_Clip_Retaining_Ring_DC-4SS,ROTOR CLIP DC-4SS CRESCENT RETAINING RING FOR 4 MM SHAFT,A,BUY,Rotor Clip,6,6,PH 15-7 Mo stainless spring steel,,2.94216e-05,DRAWING_DERIVED,https://www.rotorclip.com/product/dc-4/,https://www.rotorclip.com/product/dc-4/,"Catalog DC-4SS crescent ring; verify 4 mm shaft application, 3.13-3.20 mm groove diameter, 0.44 mm groove width, 0.35-0.40 mm ring thickness, 5 mm OD and material certification",Explicit occurrence mass is the 3.7479745 mm3 authored envelope at 7.85e-6 kg/mm3; incoming lot mass and material are verified.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SSCA-M3-8-A4-BL,Accu_SSCA-M3-8-A4-BL,"M3 X 8 CAPTIVE SOCKET CAP SCREW, DIN 912",ACCU-CATALOG,BUY,Accu,12,12,A4-80 stainless steel,Matte-black A4 stainless; verify coating compatibility for submerged service,0.0008,DRAWING_DERIVED,https://www.accu.co.uk/cap-head-captive-screws/779966-SSCA-M3-8-A4-BL,https://www.accu.co.uk/cap-head-captive-screws/779966-SSCA-M3-8-A4-BL,"Accu catalog captive fastener; incoming CoC, captive-neck and dimensional inspection",Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 80 g per 100; 2.2 mm captive diameter x 5 mm captive length and 3 mm M3 threaded end.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SSCF-M3-10-A4,Accu_SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",ACCU-CATALOG,BUY,Accu,2,2,A4-80 stainless steel,Natural A4 stainless; clean for submerged service,0.00088,DRAWING_DERIVED,https://www.accu.co.uk/us/socket-cap-head-screws/3975-SSCF-M3-10-A4,https://www.accu.co.uk/us/socket-cap-head-screws/3975-SSCF-M3-10-A4,Accu catalog cold-formed/rolled-thread fastener; incoming CoC and dimensional inspection,"Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 88 g per 100; M3 x 0.5, 5.5 mm head diameter, 3.0 mm head height.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SSCL-M4-8-A4,Accu_SSCL-M4-8-A4,"M4 X 8 FULL-THREAD LOW-HEAD SOCKET CAP SCREW, DIN 7984",ACCU-CATALOG,BUY,Accu,1,1,A4-80 stainless steel,Natural A4 stainless; clean for submerged service,0.00112,DRAWING_DERIVED,https://www.accu.co.uk/low-head-cap-screws/8885-SSCL-M4-8-A4,https://www.accu.co.uk/low-head-cap-screws/8885-SSCL-M4-8-A4,Accu catalog DIN 7984 fastener; incoming CoC and dimensional inspection,"Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 112 g per 100; M4 x 0.7, 7.0 mm head diameter, 2.8 mm head height.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
V80040,Halkey_Roberts_Water_Bobbin_V80040,HALKEY-ROBERTS WATER-SENSITIVE BOBBIN,A,BUY,Nordson MEDICAL / Halkey-Roberts,1,1,Water-sensitive media,,0.00169646,DRAWING_DERIVED,https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-V80040-Bobbin-Instructions-For-Use.pdf,https://fluid-components.nordsonmedical.com/Resources/Orders/,,"Exact V80040 identity; controlled incoming inspection verifies the 10 mm diameter by 18 mm modeled service envelope, lot traceability, and current Nordson/Halkey-Roberts IFU revision.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
